iter	Passed	Remaining
408	4358	6297
409	4367	6285
410	4377	6273
411	4386	6260
412	4396	6248
413	4405	6235
414	4414	6222
415	4424	6210
416	4433	6198
417	4443	6186
418	4452	6173
419	4463	6163
420	4476	6156
421	4487	6146
422	4500	6138
423	4511	6128
424	4523	6120
425	4534	6109
426	4544	6098
427	4557	6091
428	4568	6081
429	4581	6073
430	4592	6062
431	4603	6052
432	4622	6053
433	4636	6046
434	4650	6040
435	4675	6047
436	4701	6056
437	4724	6062
438	4739	6056
439	4752	6048
440	4766	6041
441	4777	6030
442	4787	6019
443	4797	6007
444	4807	5995
445	4817	5983
446	4827	5972
447	4837	5960
448	4846	5947
449	4856	5935
450	4866	5923
451	4876	5912
452	4886	5900
453	4895	5888
454	4906	5876
455	4915	5864
456	4925	5852
457	4935	5841
458	4945	5828
459	4955	5817
460	4964	5804
461	4974	5792
462	4984	5780
463	4993	5768
464	5003	5757
465	5012	5744
466	5023	5733
467	5032	5721
468	5043	5710
469	5054	5700
470	5064	5688
471	5074	5676
472	5084	5665
473	5094	5653
474	5104	5641
475	5114	5629
476	5124	5618
477	5133	5606
478	5143	5594
479	5154	5583
480	5163	5571
481	5173	5560
482	5183	5548
483	5193	5536
484	5204	5525
485	5213	5513
486	5222	5501
487	5232	5489
488	5241	5477
489	5252	5466
490	5264	5457
491	5274	5445
492	5284	5434
493	5294	5422
494	5303	5410
495	5312	5397
496	5320	5385
497	5330	5372
498	5339	5361
499	5349	5349
500	5358	5337
501	5368	5325
502	5377	5313
503	5387	5301
504	5396	5290
505	5406	5278
506	5416	5266
507	5425	5254
508	5435	5242
509	5444	5230
510	5454	5219
511	5464	5208
512	5474	5196
513	5484	5185
514	5493	5173
515	5503	5162
516	5513	5150
517	5522	5138
518	5531	5126
519	5540	5114
520	5550	5103
521	5559	5091
522	5568	5079
523	5578	5067
524	5588	5056
525	5597	5044
526	5606	5032
527	5616	5020
528	5627	5010
529	5636	4998
530	5646	4986
531	5655	4975
532	5665	4963
533	5674	4951
534	5683	4940
535	5695	4930
536	5706	4920
537	5717	4909
538	5731	4902
539	5743	4892
540	5755	4882
541	5767	4873
542	5777	4862
543	5786	4850
544	5796	4839
545	5807	4828
546	5816	4817
547	5826	4806
548	5836	4794
549	5846	4783
550	5856	4772
551	5865	4760
552	5875	4749
553	5884	4737
554	5893	4725
555	5903	4714
556	5913	4702
557	5922	4691
558	5932	4679
559	5941	4668
560	5950	4656
561	5960	4645
562	5970	4634
563	5980	4623
564	5990	4612
565	5999	4600
566	6009	4589
567	6019	4578
568	6030	4567
569	6039	4556
570	6051	4546
571	6062	4535
572	6073	4526
573	6083	4514
574	6093	4503
575	6102	4492
576	6111	4480
577	6120	4468
578	6129	4456
579	6138	4445
580	6147	4433
581	6157	4422
582	6166	4410
583	6176	4399
584	6187	4389
585	6195	4377
586	6205	4365
587	6214	4354
588	6223	4343
589	6233	4331
590	6242	4320
591	6251	4308
592	6260	4296
593	6269	4285
594	6279	4274
595	6289	4263
596	6298	4251
597	6307	4240
598	6317	4229
599	6327	4218
600	6336	4206
601	6346	4195
602	6355	4184
603	6365	4173
604	6374	4162
605	6384	4150
606	6394	4139
607	6403	4128
608	6412	4117
609	6421	4105
610	6431	4094
611	6441	4083
612	6450	4072
613	6459	4061
614	6470	4050
615	6479	4039
616	6488	4027
617	6498	4016
618	6507	4005
619	6516	3994
620	6526	3982
621	6535	3972
622	6545	3960
623	6554	3949
624	6563	3938
625	6574	3927
626	6583	3916
627	6593	3905
628	6605	3896
629	6615	3885
630	6626	3875
631	6635	3863
632	6644	3852
633	6654	3841
634	6664	3830
635	6673	3819
636	6685	3809
637	6695	3799
638	6705	3788
639	6715	3777
640	6725	3766
641	6735	3755
642	6745	3744
643	6756	3735
644	6766	3724
645	6776	3713
646	6787	3703
647	6796	3692
648	6806	3681
649	6817	3670
650	6829	3661
651	6840	3651
652	6853	3642
653	6864	3631
654	6876	3622
655	6891	3613
656	6902	3603
657	6917	3595
658	6929	3585
659	6942	3576
660	6956	3567
661	6970	3558
662	6981	3548
663	6993	3538
664	7004	3528
665	7014	3517
666	7027	3508
667	7038	3498
668	7048	3487
669	7058	3476
670	7070	3466
671	7081	3456
672	7091	3445
673	7102	3435
674	7112	3424
675	7122	3413
676	7132	3402
677	7141	3391
678	7151	3381
679	7161	3370
680	7172	3359
681	7183	3349
682	7192	3338
683	7202	3327
684	7211	3316
685	7220	3304
686	7230	3294
687	7239	3282
688	7248	3271
689	7257	3260
690	7267	3250
691	7277	3238
692	7287	3228
693	7297	3217
694	7309	3207
695	7318	3196
696	7327	3185
697	7337	3174
698	7346	3163
699	7356	3152
700	7365	3141
701	7375	3130
702	7385	3120
703	7394	3109
704	7404	3098
705	7414	3087
706	7424	3076
707	7435	3066
708	7445	3056
709	7455	3045
710	7465	3034
711	7475	3023
712	7485	3013
713	7495	3002
714	7504	2991
715	7514	2980
716	7523	2969
717	7533	2958
718	7544	2948
719	7554	2937
720	7564	2927
721	7574	2916
722	7585	2906
723	7595	2895
724	7605	2884
725	7615	2874
726	7624	2863
727	7633	2852
728	7643	2841
729	7652	2830
730	7664	2820
731	7673	2809
732	7683	2798
733	7692	2787
734	7701	2776
735	7711	2765
736	7720	2755
737	7730	2744
738	7739	2733
739	7748	2722
740	7758	2711
741	7767	2700
742	7777	2690
743	7786	2679
744	7796	2668
745	7805	2657
746	7814	2646
747	7823	2635
748	7833	2625
749	7842	2614
750	7852	2603
751	7862	2592
752	7872	2582
753	7885	2572
754	7894	2561
755	7902	2550
756	7912	2539
757	7921	2528
758	7930	2518
759	7940	2507
760	7949	2496
761	7959	2486
762	7969	2475
763	7978	2464
764	7988	2453
765	7998	2443
766	8007	2432
767	8018	2422
768	8028	2411
769	8038	2401
770	8048	2390
771	8057	2379
772	8066	2368
773	8075	2358
774	8085	2347
775	8095	2336
776	8105	2326
777	8114	2315
778	8125	2305
779	8136	2294
780	8146	2284
781	8157	2273
782	8168	2263
783	8179	2253
784	8189	2243
785	8199	2232
786	8210	2222
787	8220	2211
788	8230	2201
789	8241	2190
790	8251	2180
791	8260	2169
792	8269	2158
793	8278	2147
794	8288	2137
795	8298	2126
796	8307	2115
797	8316	2105
798	8325	2094
799	8335	2083
800	8344	2073
801	8354	2062
802	8363	2051
803	8373	2041
804	8383	2030
805	8393	2020
806	8402	2009
807	8410	1998
808	8420	1987
809	8429	1977
810	8439	1966
811	8448	1956
812	8458	1945
813	8467	1934
814	8476	1924
815	8485	1913
816	8494	1902
817	8503	1891
818	8513	1881
819	8523	1870
820	8532	1860
821	8542	1849
822	8551	1839
823	8560	1828
824	8571	1818
825	8581	1807
826	8591	1797
827	8599	1786
828	8609	1775
829	8618	1765
830	8627	1754
831	8637	1744
832	8646	1733
833	8655	1722
834	8664	1712
835	8672	1701
836	8682	1690
837	8691	1680
838	8701	1669
839	8711	1659
840	8721	1648
841	8731	1638
842	8741	1627
843	8750	1617
844	8759	1606
845	8769	1596
846	8778	1585
847	8788	1575
848	8797	1564
849	8806	1554
850	8816	1543
851	8825	1533
852	8834	1522
853	8843	1511
854	8854	1501
855	8864	1491
856	8872	1480
857	8881	1469
858	8890	1459
859	8900	1448
860	8909	1438
861	8919	1427
862	8928	1417
863	8937	1406
864	8947	1396
865	8956	1385
866	8969	1375
867	8981	1365
868	8995	1356
869	9006	1345
870	9016	1335
871	9026	1324
872	9035	1314
873	9044	1303
874	9055	1293
875	9064	1283
876	9073	1272
877	9082	1262
878	9091	1251
879	9101	1241
880	9109	1230
881	9119	1220
882	9130	1209
883	9140	1199
884	9149	1188
885	9159	1178
886	9168	1168
887	9178	1157
888	9187	1147
889	9196	1136
890	9205	1126
891	9214	1115
892	9223	1105
893	9232	1094
894	9241	1084
895	9251	1073
896	9259	1063
897	9270	1052
898	9279	1042
899	9288	1032
900	9297	1021
901	9306	1011
902	9316	1000
903	9325	990
904	9334	979
905	9343	969
906	9352	958
907	9363	948
908	9372	938
909	9381	927
910	9391	917
911	9400	907
912	9411	896
913	9420	886
914	9429	875
915	9438	865
916	9447	855
917	9456	844
918	9465	834
919	9475	823
920	9484	813
921	9493	803
