iter	Logloss
0	0.6877036163
1	0.6828146878
2	0.6783782897
3	0.6743637427
4	0.6707427046
5	0.6675000099
6	0.6645624165
7	0.6618860186
8	0.6594426235
9	0.6572794182
10	0.6553197795
11	0.6535592819
12	0.6519658541
13	0.6505073749
14	0.6491855349
15	0.6479930746
16	0.6469086128
17	0.645936774
18	0.6450582656
19	0.6442706013
20	0.6434934783
21	0.6428375804
22	0.6422141019
23	0.6416734622
24	0.6411731976
25	0.6406958058
26	0.640293098
27	0.6399262407
28	0.6395792229
29	0.6392491607
30	0.6389778712
31	0.6387350731
32	0.6384823304
33	0.6382681231
34	0.6380895176
35	0.6379158346
36	0.63770834
37	0.6375301322
38	0.6373886202
39	0.6372580969
40	0.6371339382
41	0.6369724375
42	0.6368933777
43	0.6367802078
44	0.6366798665
45	0.6365600835
46	0.6364562118
47	0.6363373735
48	0.6362203252
49	0.6361422599
50	0.6360448523
51	0.6359493838
52	0.6358914066
53	0.6358072254
54	0.6357853969
55	0.6356957461
56	0.6356298132
57	0.6355213173
58	0.6354407161
59	0.6353692142
60	0.6353245131
61	0.6352436136
62	0.6351808132
63	0.6351320348
64	0.6350396492
65	0.6349644181
66	0.6349174795
67	0.6348668116
68	0.6348034146
69	0.6347572218
70	0.6346838304
71	0.6346461403
72	0.6345827433
73	0.6345095011
74	0.6344535626
75	0.6344010549
76	0.6343337795
77	0.6342449243
78	0.6341577099
79	0.6340830754
80	0.6340357887
81	0.6339710492
82	0.6339095914
83	0.6338379901
84	0.6337681788
85	0.6337111961
86	0.6336715667
87	0.6336241806
88	0.6335749547
89	0.6335023589
90	0.6334593483
91	0.6334073877
92	0.633321665
93	0.6332409146
94	0.6331918378
95	0.6331428606
96	0.6330844856
97	0.6330439115
98	0.6329638572
99	0.6329066756
100	0.6328668474
101	0.6328167762
102	0.6327359761
103	0.6326604466
104	0.6326010275
105	0.632558017
106	0.6325421056
107	0.6324737362
108	0.6324458416
109	0.6323838865
110	0.6323277988
111	0.632276584
112	0.6322532141
113	0.6322203968
114	0.6321579446
115	0.6320651612
116	0.632005394
117	0.6319654166
118	0.631914152
119	0.631849313
120	0.631800286
121	0.6317288339
122	0.6316522602
123	0.6315982112
124	0.6315705651
125	0.631534118
126	0.6314788259
127	0.6313857939
128	0.6313569048
129	0.6312838117
130	0.6312583535
131	0.6312070392
132	0.6311342445
133	0.6310770629
134	0.6310201796
135	0.6309679703
136	0.6309127279
137	0.6308521154
138	0.6308059723
139	0.6307671883
140	0.6307282054
141	0.630683007
142	0.6306341292
143	0.6305422408
144	0.6304960977
145	0.6304553248
146	0.6304104248
147	0.6303731821
148	0.6303111276
149	0.6302773159
150	0.630231322
151	0.6301883115
152	0.6301445054
153	0.6300825504
154	0.6300471972
155	0.6300116949
156	0.629932287
157	0.6298766468
158	0.6297908744
159	0.6297305602
160	0.629685163
161	0.6296358377
162	0.6295712473
163	0.6295235131
164	0.6294639448
165	0.629424564
166	0.6293738464
167	0.6293084605
168	0.6292374558
169	0.6292090639
170	0.6291741583
171	0.6291497939
172	0.6290965405
173	0.6290559167
174	0.6290123592
175	0.6289505036
176	0.6288822834
177	0.6288508087
178	0.6288221184
179	0.6287921851
180	0.6287575778
181	0.6286848826
182	0.628630386
183	0.6285883202
184	0.628541481
185	0.6284787304
186	0.6284397475
187	0.6283628755
188	0.6283094231
189	0.6282569155
190	0.6282196729
191	0.6281831761
